t / s;T_1 / °C;T_2 / °C;T_3 / °C;T_4 / °C;&DT / °C
543;14,5;26;10,5;28,8;-11,5
544;14,5;26,1;10,5;28,9;-11,6
545;14,6;26,1;10,5;28,9;-11,5
546;14,6;26,1;10,6;28,9;-11,5
547;14,6;26,1;10,6;28,9;-11,5
548;14,6;26,1;10,6;28,9;-11,5
549;14,6;26,1;10,6;29;-11,5
550;14,6;26,1;10,6;29;-11,5
551;14,6;26,1;10,6;29;-11,5
552;14,8;26,1;10,6;29;-11,3
553;14,8;26,1;10,6;29;-11,3
554;14,9;26,1;10,6;29;-11,2
555;15;26,1;10,6;29;-11,1
556;15;26,1;10,6;29;-11,1
557;15;26,1;10,6;29;-11,1
558;15;26,1;10,6;29;-11,1
559;14,8;26,1;10,6;29,1;-11,3
560;14,6;26,1;10,6;29,1;-11,5
561;14,5;26,1;10,6;29,1;-11,6
562;14,3;26,1;10,6;29,1;-11,8
563;14,3;26,1;10,6;29,1;-11,8
564;14,3;26,1;10,6;29,1;-11,8
565;14,4;26,1;10,5;29,1;-11,7
566;14,4;26,1;10,5;29,1;-11,7
567;14,4;26,1;10,5;29,1;-11,7
568;14,4;26,1;10,5;29,1;-11,7
569;14,4;26,1;10,5;29,1;-11,7
570;14,4;26,1;10,5;29,1;-11,7
571;14,4;26,1;10,5;29,1;-11,7
572;14,5;26,2;10,4;29,1;-11,7
573;14,5;26,2;10,4;29,1;-11,7
574;14,5;26,2;10,4;29,1;-11,7
575;14,5;26,2;10,4;29,1;-11,7
576;14,5;26,2;10,4;29,2;-11,7
577;14,5;26,2;10,4;29,2;-11,7
578;14,4;26,2;10,3;29,2;-11,8
579;14,4;26,2;10,3;29,2;-11,8
580;14,4;26,3;10,3;29,2;-11,9
581;14,3;26,3;10,3;29,2;-12
582;14,3;26,3;10,3;29,2;-12
583;14,3;26,3;10,3;29,2;-12
584;14,3;26,5;10,3;29,2;-12,2
585;14,3;27;10,3;29,2;-12,7
586;14,3;26,9;10,3;29,2;-12,6
587;14,3;26,9;10,2;29,2;-12,6
588;14,3;26,9;10,2;29,2;-12,6
589;14,3;26,9;10,2;29,2;-12,6
590;14,2;26,9;10,2;29,2;-12,7
591;14,1;26,9;10,2;29,1;-12,8
592;14,2;27;10,1;29,1;-12,8
593;14,4;27;10,1;29,1;-12,6
594;14,3;27;10,1;29,1;-12,7
595;13,9;27,2;10,1;29,1;-13,3
596;13,9;27,2;10,1;29,1;-13,3
597;14;27,2;10,1;29,1;-13,2
598;14;27,2;10,1;29,1;-13,2
599;14;27,1;10,1;29,1;-13,1
600;14;27,2;10,1;29,1;-13,2
601;14;27,2;10,1;29,1;-13,2
602;14,1;27,2;10,1;29,1;-13,1
603;14,5;27,2;10,1;29,1;-12,7
604;14,5;27,2;10,1;29,1;-12,7
605;14,5;27,2;10,1;29,1;-12,7
606;14,5;27,2;10,1;29,1;-12,7
607;14,6;27,2;10,1;29,1;-12,6
608;14,5;27,2;10;29,1;-12,7
609;14,7;27,2;10;29,1;-12,5
610;14,4;27,2;10;29,1;-12,8
611;14,4;27,2;9,9;29;-12,8
612;14,5;27,2;9,9;29;-12,7
613;14,5;27,2;9,9;29;-12,7
614;14,5;27,3;9,9;29;-12,8
615;14,4;27,3;9,9;28,9;-12,9
616;14,4;27,3;9,9;28,9;-12,9
617;14,6;27,3;9,8;28,9;-12,7
618;14,6;27,4;9,8;28,9;-12,8
619;14,5;27,5;9,8;28,8;-13
620;14,3;27,4;9,7;28,8;-13,1
621;14,2;27,4;9,7;28,8;-13,2
622;14,4;27,4;9,7;28,8;-13
623;14,4;27,4;9,7;28,8;-13
624;14,3;27,4;9,7;28,8;-13,1
625;14,2;27,3;9,6;28,7;-13,1
626;14,1;27,3;9,6;28,7;-13,2
627;14,1;27,3;9,6;28,7;-13,2
628;14,1;27,3;9,6;28,7;-13,2
629;14,1;27,3;9,6;28,7;-13,2
630;14,1;27,3;9,6;28,7;-13,2
631;14,3;27,3;9,5;28,7;-13
632;14,4;27,3;9,5;28,7;-12,9
633;14,5;27,3;9,5;28,7;-12,8
634;14,5;27,3;9,5;28,7;-12,8
635;14,5;27,2;9,5;28,7;-12,7
636;14,4;27,2;9,5;28,7;-12,8
637;14,2;27,2;9,5;28,7;-13
638;14,3;27,2;9,5;28,7;-12,9
639;14,4;27,2;9,5;28,7;-12,8
640;14,3;27,3;9,5;28,7;-13
