Distance_(pixels),Gray_Value
2040,83.978
2041,83.381
2042,82.359
2043,80.282
2044,78.680
2045,76.928
2046,75.431
2047,74.083
2048,73.282
2049,70.138
2050,70.271
2051,70.215
2052,70.530
2053,71.028
2054,72.818
2055,74.735
2056,74.785
2057,77.757
2058,80.149
2059,80.917
2060,83.387
2061,85.381
2062,88.221
2063,92.337
2064,93.215
2065,95.536
2066,97.044
2067,97.199
2068,97.912
2069,98.895
2070,98.541
2071,99.635
2072,101.740
2073,102.867
2074,103.906
2075,104.564
2076,104.773
2077,104.972
2078,104.912
2079,105.459
2080,105.387
2081,106.669
2082,106.856
2083,106.884
2084,106.425
2085,106.331
2086,106.757
2087,107.890
2088,106.945
2089,108.177
2090,107.873
2091,107.740
2092,108.845
2093,108.116
2094,107.155
2095,106.171
2096,104.503
2097,104.243
2098,103.282
2099,103.000
2100,102.674
2101,102.354
2102,101.050
2103,100.470
2104,99.171
2105,97.751
2106,96.680
2107,96.492
2108,95.459
2109,94.812
2110,92.884
2111,92.083
2112,91.403
2113,90.133
2114,89.890
2115,89.243
2116,88.486
2117,88.221
2118,89.431
2119,89.917
2120,91.088
2121,92.779
2122,92.591
2123,93.254
2124,95.160
2125,95.812
2126,97.381
2127,96.525
2128,96.773
